Tree_Units,Cool_Roof_Units,Water_Units,Final_Temperature,Total_Cost,Temperature_Reduction
49.17125631070475,49.8258465449126,5.025031810918501,6.96213130003909,52095.9616461224,43.55340756756095
49.94526209311106,49.99910525078738,5.025031810918501,6.523150797073498,52534.942149088,43.992388070526545
49.94497642213687,49.99907609189187,5.522611849623374,6.125238349265345,53778.740662694436,44.3903005183347
49.945286619264486,49.999691129884646,5.976888805960282,5.761477174234187,54914.77266349834,44.754061693365855
49.003854837235146,49.989227267918004,6.9978038715039865,5.418600171403881,56993.20527775293,45.09693869619616
49.50834445705178,49.60925192566378,7.37627190253148,4.977573539349834,58077.627562553724,45.53796532825021
49.97336233512102,49.99829049005362,7.483496212897652,4.542573582705323,58694.90884682072,45.97296528489472
49.003854837235146,49.977922067040005,8.34425152272599,4.344833610689676,60355.93284554455,46.17070525691037
49.84462252579604,49.97060465395443,8.346699016972366,3.924686994937801,60780.24020151527,46.59085187266224
49.94163228746691,49.99038926885793,9.25660860740237,3.1423190572873096,63109.45444289675,47.37321981031273
48.66686650479664,49.668019019741024,10.224807058248917,3.101854262680284,64795.85660394291,47.41368460491976
49.77432664759768,49.66910144085218,10.263745869070124,2.516648416289449,65447.25842872981,47.998890451310594
49.994455191939466,49.99829049005362,10.695048128095774,1.9627856221376092,66734.33506322525,48.55275324546243
49.999859893033225,49.99969822865061,11.013653508134723,1.7047766459804734,67533.9731854486,48.81076222161957
49.88087577441946,49.573508725678316,11.452638245060088,1.5409377666387485,68444.08611756345,48.974601100961294
49.999859893033225,49.99969822865061,11.511042446067915,1.3068654956339145,68777.44553028158,49.20867337196613
49.994896214714196,49.822600032898336,12.247375220709285,0.7734105738060109,70562.6661689998,49.74212829379403
49.995902104088124,49.99431189587997,12.271320333897334,0.7022379796741234,70674.54545555139,49.81330088792592
49.995901947549385,49.99862166632585,12.7742047486825,0.29863759498159226,71933.0493453787,50.21690127261845
49.995901947549385,49.99862166632585,13.161960014986235,-0.011566618061394252,72902.43751113804,50.52710548566144
49.971303713870114,49.99829049005362,13.405524671501627,-0.19401987355239925,73498.95068270521,50.70955874115244
49.99996697375114,49.697657410166585,13.894264468799193,-0.5091534173648569,74644.94188192353,51.0246922849649
49.997512692492805,49.63195705137268,14.72437600391764,-1.1523053971922792,76699.2834714523,51.66784426479232
49.99629982453391,49.795226438804754,14.98541727731227,-1.4095127981581541,77400.26103718905,51.9250516657582
49.97000859053567,49.95713430946977,15.294569950470386,-1.692261680885025,78208.56946428472,52.20780054848507
49.94313575990457,49.99050534299678,15.826754196451645,-2.1145839724125963,79535.60497398043,52.63012284001264
49.94358750452206,49.99969197399756,16.20028616766433,-2.4163914109917144,80472.41676362112,52.93193027859176
49.9794200531274,49.990562766784706,16.898588826267897,-2.990211050013386,82233.35092226884,53.50574991761343
49.97947097155917,49.999347412080176,17.375725223754934,-3.3745810208075397,83428.85276879097,53.89011988840758
49.99740258568019,49.99967231735736,17.513396260418087,-3.493781128781734,83782.09363909252,54.00931999638178
49.64987570699253,49.937936585165346,18.1412825384673,-3.8038059922196723,85159.52517521413,54.319344859819715
49.99588438421852,49.241961796794754,18.430577422729534,-3.9994538017312706,85846.97428797152,54.51499266933131
49.99811824711359,49.99015653679393,18.606061571622305,-4.365416474292772,86511.26001365074,54.880955341892815
49.560515311436454,49.406452674948525,19.41177765533598,-4.616076714871525,88131.63759654274,55.13161558247157
49.999859893033225,49.99963362177579,19.99867608651659,-5.483222034662575,89996.51024934082,55.99876090226262
49.999859893033225,49.999895883385854,19.99938219992747,-5.4838656038743,89998.35421135105,55.99940447147434
